TOKEN_ID,TOKEN_NAME,Background,Race,Eyes,Eye Color,Shirt,Hair,Neck,Core,Drip Grade,Face Decoration,Hat,Glasses,Necklace,Earring,NUM_TRAITS,RARITY_SCORE,Rank
1346,Milady 1346,23.306591829844702,285.8555900621118,28.704417879417882,24.070475941422593,54.432584269662925,43.772132836648964,336.7518292682927,79.86594360086768,118.92183462532302,140.6706571574121,60.85652892561984,101.22305718475074,312.37160633484166,151.10068399452805,78896.14285714286,80658.0467910536,1
3612,Milady 3612,52.617473323170735,37.29558346839546,44.323675762439805,457.1796357615894,54.432584269662925,52.397817836812145,379.56907216494847,75.60205338809035,176.67082533589254,5.849172306421377,2.6755468352590657,6.597455501134871,3034.4670329670334,515.6610644257703,53.488910411622285,4948.827903758242,2
4876,Milady 4876,54.443316246056796,37.29558346839546,28.86947203345531,24.070475941422593,43.64414414414414,56.199552253994106,336.7518292682927,45.51075401730532,176.67082533589254,140.6706571574121,127.1054085155351,1255.1659090909093,5.2164217167900855,137.65528414755735,2191.559523809524,4660.829157146687,3
5924,Milady 5924,25.158208819241985,37.29558346839546,28.86947203345531,27.836340725806455,110.10227272727272,43.772132836648964,12.745741980152319,44.68228155339806,176.67082533589254,130.7155029585799,60.85652892561984,545.7243083003953,3034.4670329670334,4.906607318958395,212.0864055299539,4495.889245480805,4
6097,Milady 6097,23.306591829844702,32.77973646723647,28.86947203345531,24.070475941422593,68.23239436619718,46.39390120967742,528.4909090909091,44.68228155339806,176.67082533589254,5.849172306421377,106.82263056092845,6.597455501134871,3034.4670329670334,137.65528414755735,212.0864055299539,4476.974568841063,5
5930,Milady 5930,146.8811170212766,37.29558346839546,109.14486166007904,24.070475941422593,186.32692307692307,98.9736559139785,336.7518292682927,83.67772727272727,176.67082533589254,360.0215123859192,89.6547077922078,6.597455501134871,283.2169230769231,300.8022875816994,2191.559523809524,4431.645409106396,6
6770,Milady 6770,319.60243055555554,32.77973646723647,28.86947203345531,142.6324896694215,73.40151515151516,53.17987481945112,379.56907216494847,104.59715909090909,176.67082533589254,321.83741258741264,67.3914582062233,204.92504638218927,254.38645785352375,4.906607318958395,2191.559523809524,4356.309081446216,7
7220,Milady 7220,292.51747881355936,93.82823649337412,28.704417879417882,23.682375643224702,41.05508474576271,53.3390960015453,336.7518292682927,45.51075401730532,176.67082533589254,321.83741258741264,76.0706611570248,6.597455501134871,326.7887573964497,300.8022875816994,2191.559523809524,4315.71619623162,8
553,Milady 553,23.306591829844702,37.29558346839546,363.3375,27.836340725806455,58.721212121212126,52.397817836812145,566.4338461538463,79.86594360086768,176.67082533589254,178.49806076276664,98.44438502673796,114.36591426796438,312.37160633484166,4.906607318958395,2191.559523809524,4286.01175859347,9
5637,Milady 5637,25.158208819241985,32.77973646723647,28.482362042289843,472.8364726027398,64.16556291390728,54.98536439665472,336.7518292682927,127.39861591695504,118.92183462532302,171.3005583126551,101.42754820936639,6.597455501134871,334.5081768625076,137.65528414755735,2191.559523809524,4204.528533895385,10
9550,Milady 9550,52.617473323170735,93.82823649337412,28.704417879417882,24.070475941422593,42.310043668122276,52.397817836812145,12.745741980152319,59.8669918699187,176.67082533589254,360.0215123859192,64.36748251748251,545.7243083003953,277.6636500754148,158.47144906743188,2191.559523809524,4141.019950484451,11
1982,Milady 1982,52.617473323170735,32.77973646723647,47.60974137931035,23.682375643224702,186.32692307692307,46.27339757017176,12.745741980152319,45.51075401730532,176.67082533589254,171.3005583126551,73.29435965494359,545.7243083003953,342.6011166253102,167.45694360218315,2191.559523809524,4116.153779098398,12
5181,Milady 5181,319.60243055555554,93.82823649337412,28.482362042289843,23.682375643224702,99.88659793814432,52.707864096201554,12.745741980152319,75.60205338809035,176.67082533589254,145.98810467882632,2.6755468352590657,6.597455501134871,3034.4670329670334,4.906607318958395,24.164209144607305,4102.007443918744,13
5101,Milady 5101,52.617473323170735,30.908495634654134,44.323675762439805,24.070475941422593,40.03719008264463,60.3907053034445,566.4338461538463,45.51075401730532,176.67082533589254,178.49806076276664,73.29435965494359,414.9308790383171,5.2164217167900855,156.1858031674208,2191.559523809524,4060.6484897045825,14
49,Milady 49,23.243813131313132,32.77973646723647,109.14486166007904,24.070475941422593,54.432584269662925,54.64803087274886,12.745741980152319,158.6991379310345,176.67082533589254,184.70668896321072,88.86130329847144,414.9308790383171,369.41337792642145,156.1858031674208,2191.559523809524,4052.0927837929075,15
9308,Milady 9308,23.243813131313132,37.29558346839546,28.482362042289843,24.070475941422593,41.05508474576271,54.64803087274886,566.4338461538463,32.96168307967771,118.92183462532302,145.98810467882632,2.6755468352590657,114.36591426796438,369.41337792642145,300.8022875816994,2191.559523809524,4051.917469160474,16
6571,Milady 6571,61.09214601769912,30.908495634654134,28.482362042289843,23.682375643224702,44.444954128440365,52.707864096201554,566.4338461538463,44.68228155339806,176.67082533589254,5.849172306421377,112.82390194075587,233.51923890063426,317.0338691159587,137.65528414755735,2191.559523809524,4027.546140826498,17
6720,Milady 6720,135.89394685039372,93.82823649337412,107.02965116279071,27.836340725806455,73.40151515151516,51.48918515756106,336.7518292682927,32.183741258741264,176.67082533589254,143.52208939708942,122.45521064301552,6.597455501134871,326.7887573964497,151.10068399452805,2191.559523809524,3977.108992146109,18
2812,Milady 2812,24.69031652360515,37.29558346839546,28.482362042289843,23.682375643224702,66.82068965517242,54.98536439665472,566.4338461538463,47.878023407022106,176.67082533589254,143.52208939708942,86.56316614420064,204.0920177383592,5.2164217167900855,300.8022875816994,2191.559523809524,3958.694893013766,19
6337,Milady 6337,23.306591829844702,285.8555900621118,28.704417879417882,24.070475941422593,64.16556291390728,51.63842917251051,12.745741980152319,104.59715909090909,176.67082533589254,143.52208939708942,67.3914582062233,233.51923890063426,334.5081768625076,156.1858031674208,2191.559523809524,3898.4410845495677,20
1043,Milady 1043,23.243813131313132,32.77973646723647,28.482362042289843,142.6324896694215,186.32692307692307,84.83456221198156,12.745741980152319,83.67772727272727,176.67082533589254,140.6706571574121,66.94218181818182,204.0920177383592,369.41337792642145,151.10068399452805,2191.559523809524,3895.172623632364,21
7254,Milady 7254,54.443316246056796,285.8555900621118,28.482362042289843,24.070475941422593,73.40151515151516,52.397817836812145,12.745741980152319,104.59715909090909,176.67082533589254,145.98810467882632,66.94218181818182,204.0920177383592,317.0338691159587,137.65528414755735,2191.559523809524,3875.935784995569,22
9259,Milady 9259,132.2492816091954,32.77973646723647,47.60974137931035,24.070475941422593,40.03719008264463,54.98536439665472,12.745741980152319,45.51075401730532,176.67082533589254,130.7155029585799,106.82263056092845,204.92504638218927,369.41337792642145,300.8022875816994,2191.559523809524,3870.8974804291565,23
3336,Milady 3336,61.09214601769912,93.82823649337412,28.482362042289843,24.070475941422593,99.88659793814432,43.772132836648964,12.745741980152319,79.86594360086768,176.67082533589254,178.49806076276664,77.24097902097901,204.92504638218927,295.0176282051282,300.8022875816994,2191.559523809524,3868.457987948778,24
