TOKEN_ID,TOKEN_NAME,Background,Race,Eyes,Eye Color,Shirt,Hair,Neck,Drip Score,Core,Drip Grade,Number,Face Decoration,Hat,Glasses,Necklace,Earring,NUM_TRAITS,RARITY_SCORE,Rank
1346,Milady 1346,3961.302835921675,48585.42028985507,4878.743866943868,4091.136331938633,9251.629410605165,7439.726717920267,57235.99512195122,9765.608822305452,13574.408098336948,20212.539190353145,9689.0,23909.07590422822,10343.474600550964,17204.368035190615,53092.212669683264,25681.814500683995,13409576.0,13728492.456396468,1
2832,Milady 2832,9386.7032,118518.97979797982,4906.797281756404,4731.20120967742,9980.5456671983,8958.487497614047,57235.99512195122,1738278.3703703703,4360.837723577236,30027.841330774158,9689.0,61191.02477183833,18156.09903288201,17204.368035190615,886.6086595133745,833.9510825626127,36047.24731182795,2130394.0580947134,2
2406,Milady 2406,8943.12423780488,5253.359749272443,18191.285271317833,4731.20120967742,34308.12573099416,9038.71275878671,2166.328917609047,1738278.3703703703,5470.10675990676,30027.841330774158,9689.0,994.1540579756193,16410.32027972028,85333.66545454545,886.6086595133745,26546.10633484163,9091.237966101697,2005359.5490892115,3
9528,Milady 9528,4276.0127551020405,5571.405033238366,4878.743866943868,4091.136331938633,31669.039136302294,37849.60967741936,2166.328917609047,1738278.3703703703,5602.329573261713,30027.841330774158,9689.0,994.1540579756193,20317.539393939394,17204.368035190615,43236.7719944726,833.9510825626127,9091.237966101697,1965777.8395232023,4
5930,Milady 5930,24964.63617021277,6338.940572663425,18550.796837944665,4091.136331938633,31669.039136302294,16822.048745519714,57235.99512195122,869139.1851851852,14222.277575757575,30027.841330774158,9689.0,61191.02477183833,15238.154545454547,1121.3359455262214,48136.93948717949,51125.83442265795,372488.2222222222,1632052.4084031284,5
6844,Milady 6844,8943.12423780488,48585.42028985507,52734.287640449445,24242.518595041325,16803.979949874687,9345.58263639984,96273.87897435899,869139.1851851852,15413.305747126436,30027.841330774158,9689.0,54701.0675990676,20317.539393939394,1121.3359455262214,886.6086595133745,833.9510825626127,9091.237966101697,1268149.8652335806,6
4016,Milady 4016,4276.0127551020405,118518.97979797982,18550.796837944665,4091.136331938633,10905.8942721041,8958.487497614047,2166.328917609047,869139.1851851852,21653.294579008074,30027.841330774158,9689.0,994.1540579756193,53333.54090909091,17204.368035190615,56854.652937613566,833.9510825626127,9091.237966101697,1236288.8624937946,7
6314,Milady 6314,10383.521238938054,15947.507985049271,4841.002166064983,4025.172898799314,18928.62109296229,33644.09749103943,2166.328917609047,869139.1851851852,7594.420064724919,30027.841330774158,9689.0,31393.65618729097,14463.33312788906,17204.368035190615,886.6086595133745,29214.762527233113,36047.24731182795,1135596.6742200917,8
1982,Milady 1982,8943.12423780488,5571.405033238366,8091.98551724138,4025.172898799314,31669.039136302294,7864.853958944282,2166.328917609047,347655.67407407414,7735.231314379893,30027.841330774158,9689.0,29115.084367245658,12457.469409422692,92753.98418972331,58230.168734491315,28461.804730139476,372488.2222222222,1056946.3900724123,9
2812,Milady 2812,4196.487482117311,6338.940572663425,4841.002166064983,4025.172898799314,11357.172655777375,9345.58263639984,96273.87897435899,289713.0617283951,8137.584048547897,30027.841330774158,9689.0,24393.71933471934,14712.700940438872,34688.481892091644,886.6086595133745,51125.83442265795,372488.2222222222,972241.2919655419,10
3336,Milady 3336,10383.521238938054,15947.507985049271,4841.002166064983,4091.136331938633,16977.216856574425,7439.726717920267,2166.328917609047,289713.0617283951,13574.408098336948,30027.841330774158,9689.0,30338.407239819,13128.256223776221,34830.06753246753,50142.64529914529,51125.83442265795,372488.2222222222,956904.1843116891,11
5288,Milady 5288,4276.0127551020405,5253.359749272443,7533.469662921348,4025.172898799314,31669.039136302294,9038.71275878671,2166.328917609047,289713.0617283951,14222.277575757575,30027.841330774158,9689.0,24812.85540576262,15238.154545454547,39690.07695560254,50142.64529914529,23396.568295114655,372488.2222222222,933382.799237022,12
6720,Milady 6720,23097.202755905513,15947.507985049271,18191.285271317833,4731.20120967742,12475.682083997874,8751.354838709678,57235.99512195122,193142.04115226335,5470.10675990676,30027.841330774158,9689.0,24393.71933471934,20813.089135254988,1121.3359455262214,55542.622485207095,25681.814500683995,372488.2222222222,878800.0221331668,13
3612,Milady 3612,8943.12423780488,6338.940572663425,7533.469662921348,77704.49668874172,9251.629410605165,8905.790512333966,64513.42405498282,25944.453289110003,12849.696372347707,30027.841330774158,9689.0,994.1540579756193,454.7490831577162,1121.3359455262214,515752.9230769231,87644.28758169933,9091.237966101697,876760.5538436689,14
1043,Milady 1043,3950.6326599326603,5571.405033238366,4841.002166064983,24242.518595041325,31669.039136302294,14418.898924731184,2166.328917609047,193142.04115226335,14222.277575757575,30027.841330774158,9689.0,23909.07590422822,11377.82206060606,34688.481892091644,62787.31237458194,25681.814500683995,372488.2222222222,864873.7144461288,15
4876,Milady 4876,9253.453470031547,6338.940572663425,4906.797281756404,4091.136331938633,7417.973131025762,9551.951969064823,57235.99512195122,28496.366727383123,7735.231314379893,30027.841330774158,9689.0,23909.07590422822,21603.459608745685,213334.16363636364,886.6086595133745,23396.568295114655,372488.2222222222,830362.7855771567,16
5924,Milady 5924,4276.0127551020405,6338.940572663425,4906.797281756404,4731.20120967742,18713.52312599681,7439.726717920267,2166.328917609047,45744.16764132553,7594.420064724919,30027.841330774158,9689.0,22217.048994082837,10343.474600550964,92753.98418972331,515752.9230769231,833.9510825626127,36047.24731182795,819576.5888732208,17
6770,Milady 6770,54321.19907407407,5571.405033238366,4906.797281756404,24242.518595041325,12475.682083997874,9038.71275878671,64513.42405498282,66856.8603988604,17777.84696969697,30027.841330774158,9689.0,54701.0675990676,11454.18328248932,34830.06753246753,43236.7719944726,833.9510825626127,372488.2222222222,816965.5512944909,18
6097,Milady 6097,3961.302835921675,5571.405033238366,4906.797281756404,4091.136331938633,11597.112923152952,7885.335349462366,89824.91100478469,19314.20411522634,7594.420064724919,30027.841330774158,9689.0,994.1540579756193,18156.09903288201,1121.3359455262214,515752.9230769231,23396.568295114655,36047.24731182795,789931.7939912302,19
7220,Milady 7220,49717.707627118645,15947.507985049271,4878.743866943868,4025.172898799314,6977.923877490336,9065.774773034576,57235.99512195122,42397.03342366757,7735.231314379893,30027.841330774158,9689.0,54701.0675990676,12929.343250688706,1121.3359455262214,55542.622485207095,51125.83442265795,372488.2222222222,785606.3581445785,20
553,Milady 553,3961.302835921675,6338.940572663425,61754.62631578947,4731.20120967742,9980.5456671983,8905.790512333966,96273.87897435899,45744.16764132553,13574.408098336948,30027.841330774158,9689.0,30338.407239819,16732.091265597148,19438.192586456822,53092.212669683264,833.9510825626127,372488.2222222222,783904.780224721,21
49,Milady 49,3950.6326599326603,5571.405033238366,18550.796837944665,4091.136331938633,9251.629410605165,9288.247773599842,2166.328917609047,79012.65319865319,26973.285057471265,30027.841330774158,9689.0,31393.65618729097,15103.303620273531,70523.69045830202,62787.31237458194,26546.10633484163,372488.2222222222,777415.2477492793,22
9550,Milady 9550,8943.12423780488,15947.507985049271,4878.743866943868,4091.136331938633,7191.2228606450635,8905.790512333966,2166.328917609047,42397.03342366757,10175.288021680217,30027.841330774158,9689.0,61191.02477183833,10940.213519813518,92753.98418972331,47193.07792860734,26934.58593974175,372488.2222222222,755914.1260603932,23
5181,Milady 5181,54321.19907407407,15947.507985049271,4841.002166064983,4025.172898799314,16977.216856574425,8958.487497614047,2166.328917609047,45744.16764132553,12849.696372347707,30027.841330774158,9689.0,24812.85540576262,454.7490831577162,1121.3359455262214,515752.9230769231,833.9510825626127,4107.0676875957115,752630.5030217605,24
5637,Milady 5637,4276.0127551020405,5571.405033238366,4841.002166064983,80365.60958904111,10905.8942721041,9345.58263639984,57235.99512195122,17041.94480755265,21653.294579008074,20212.539190353145,9689.0,29115.084367245658,17239.124334251606,1121.3359455262214,56854.652937613566,23396.568295114655,372488.2222222222,741353.2682527894,25
6337,Milady 6337,3961.302835921675,48585.42028985507,4878.743866943868,4091.136331938633,10905.8942721041,8776.721084618981,2166.328917609047,66856.8603988604,17777.84696969697,30027.841330774158,9689.0,24393.71933471934,11454.18328248932,39690.07695560254,56854.652937613566,26546.10633484163,372488.2222222222,739144.0573658114,26
9259,Milady 9259,22477.73754789272,5571.405033238366,8091.98551724138,4091.136331938633,6804.917500362476,9345.58263639984,2166.328917609047,69531.13481481481,7735.231314379893,30027.841330774158,9689.0,22217.048994082837,18156.09903288201,34830.06753246753,62787.31237458194,51125.83442265795,372488.2222222222,737136.8855235458,27
3755,Milady 3755,3961.302835921675,6338.940572663425,4841.002166064983,4025.172898799314,12475.682083997874,7704.755150619716,2166.328917609047,69531.13481481481,7594.420064724919,30027.841330774158,9689.0,23909.07590422822,18156.09903288201,85333.66545454545,50142.64529914529,24649.955882352944,372488.2222222222,733035.2446313661,28
1746,Milady 1746,3950.6326599326603,6338.940572663425,7533.469662921348,4091.136331938633,11933.261123824053,9736.234000622342,64513.42405498282,66856.8603988604,20251.786839266453,30027.841330774158,9689.0,24393.71933471934,19616.934587251824,34688.481892091644,43236.7719944726,833.9510825626127,372488.2222222222,730180.6680891064,29
